2026-04-05 17:48:56,395 | INFO | PID:16584 | src.api.routes | Received request to process method in router: 2
2026-04-05 17:48:56,396 | INFO | PID:16584 | src.services.agent_service | Start AgentService invoke Method
2026-04-05 17:48:56,396 | INFO | PID:16584 | src.services.agent_service | Start AgentService invoke Method
2026-04-05 17:48:56,396 | INFO | PID:16584 | src.workers.process_worker | Started ProcessWorker executemethod
2026-04-05 17:48:56,396 | INFO | PID:16584 | src.workers.process_worker | Started ProcessWorker executemethod
2026-04-05 17:48:56,397 | INFO | PID:16584 | src.api.routes | Received request to process method in router: 4
2026-04-05 17:48:56,397 | INFO | PID:16584 | src.api.routes | Received request to process method in router: 4
2026-04-05 17:48:56,398 | INFO | PID:16584 | src.services.agent_service | Start AgentService invoke Method
2026-04-05 17:48:56,398 | INFO | PID:16584 | src.services.agent_service | Start AgentService invoke Method
2026-04-05 17:48:56,399 | INFO | PID:16584 | src.workers.process_worker | Started ProcessWorker executemethod
2026-04-05 17:48:56,399 | INFO | PID:16584 | src.workers.process_worker | Started ProcessWorker executemethod
2026-04-05 17:48:56,400 | INFO | PID:16584 | src.api.routes | Received request to process method in router: 8
2026-04-05 17:48:56,400 | INFO | PID:16584 | src.api.routes | Received request to process method in router: 8
2026-04-05 17:48:56,401 | INFO | PID:16584 | src.services.agent_service | Start AgentService invoke Method
2026-04-05 17:48:56,401 | INFO | PID:16584 | src.services.agent_service | Start AgentService invoke Method
2026-04-05 17:48:56,401 | INFO | PID:16584 | src.workers.process_worker | Started ProcessWorker executemethod
2026-04-05 17:48:56,401 | INFO | PID:16584 | src.workers.process_worker | Started ProcessWorker executemethod
2026-04-05 17:48:56,402 | INFO | PID:16584 | src.api.routes | Received request to process method in router: 7
2026-04-05 17:48:56,402 | INFO | PID:16584 | src.api.routes | Received request to process method in router: 7
2026-04-05 17:48:56,402 | INFO | PID:16584 | src.services.agent_service | Start AgentService invoke Method
2026-04-05 17:48:56,402 | INFO | PID:16584 | src.services.agent_service | Start AgentService invoke Method
2026-04-05 17:48:56,403 | INFO | PID:16584 | src.workers.process_worker | Started ProcessWorker executemethod
2026-04-05 17:48:56,403 | INFO | PID:16584 | src.workers.process_worker | Started ProcessWorker executemethod
2026-04-05 17:48:56,404 | INFO | PID:16584 | src.api.routes | Received request to process method in router: 6
2026-04-05 17:48:56,404 | INFO | PID:16584 | src.api.routes | Received request to process method in router: 6
2026-04-05 17:48:56,404 | INFO | PID:16584 | src.services.agent_service | Start AgentService invoke Method
2026-04-05 17:48:56,404 | INFO | PID:16584 | src.services.agent_service | Start AgentService invoke Method
2026-04-05 17:48:56,405 | INFO | PID:16584 | src.workers.process_worker | Started ProcessWorker executemethod
2026-04-05 17:48:56,405 | INFO | PID:16584 | src.workers.process_worker | Started ProcessWorker executemethod
2026-04-05 17:48:57,328 | INFO | PID:27056 | src.workers.process_worker | Started ProcessWorker processing in heavy_task method for 0
2026-04-05 17:48:57,351 | INFO | PID:24156 | src.workers.process_worker | Started ProcessWorker processing in heavy_task method for 1
2026-04-05 17:48:57,353 | INFO | PID:9196 | src.workers.process_worker | Started ProcessWorker processing in heavy_task method for 3
2026-04-05 17:48:57,373 | INFO | PID:10620 | src.workers.process_worker | Started ProcessWorker processing in heavy_task method for 9
2026-04-05 17:49:00,177 | INFO | PID:27056 | src.workers.process_worker | Started ProcessWorker processing in heavy_task method for 0
2026-04-05 17:49:00,179 | INFO | PID:27056 | src.workers.process_worker | Started ProcessWorker processing in heavy_task method for 5
2026-04-05 17:49:00,790 | INFO | PID:10620 | src.workers.process_worker | Started ProcessWorker processing in heavy_task method for 9
2026-04-05 17:49:00,790 | INFO | PID:10620 | src.workers.process_worker | Started ProcessWorker processing in heavy_task method for 2
2026-04-05 17:49:00,838 | INFO | PID:9196 | src.workers.process_worker | Started ProcessWorker processing in heavy_task method for 3
2026-04-05 17:49:00,838 | INFO | PID:9196 | src.workers.process_worker | Started ProcessWorker processing in heavy_task method for 4
2026-04-05 17:49:00,855 | INFO | PID:24156 | src.workers.process_worker | Started ProcessWorker processing in heavy_task method for 1
2026-04-05 17:49:00,856 | INFO | PID:24156 | src.workers.process_worker | Started ProcessWorker processing in heavy_task method for 8
2026-04-05 17:49:02,973 | INFO | PID:27056 | src.workers.process_worker | Started ProcessWorker processing in heavy_task method for 5
2026-04-05 17:49:02,974 | INFO | PID:27056 | src.workers.process_worker | Started ProcessWorker processing in heavy_task method for 7
2026-04-05 17:49:03,964 | INFO | PID:10620 | src.workers.process_worker | Started ProcessWorker processing in heavy_task method for 2
2026-04-05 17:49:03,965 | INFO | PID:10620 | src.workers.process_worker | Started ProcessWorker processing in heavy_task method for 6
2026-04-05 17:49:04,001 | INFO | PID:9196 | src.workers.process_worker | Started ProcessWorker processing in heavy_task method for 4
2026-04-05 17:49:04,037 | INFO | PID:24156 | src.workers.process_worker | Started ProcessWorker processing in heavy_task method for 8
2026-04-05 17:49:05,668 | INFO | PID:27056 | src.workers.process_worker | Started ProcessWorker processing in heavy_task method for 7
2026-04-05 17:49:06,726 | INFO | PID:10620 | src.workers.process_worker | Started ProcessWorker processing in heavy_task method for 6
